year,GEOID,NAME,race_ethnicity,sex,adult_above_poverty_line_pop,adult_below_poverty_line_pop,child_above_poverty_line_pop,child_below_poverty_line_pop,total_child_pop,total_pop,total_pov,child_pov_pct,pov_pct,adult_above_poverty_line_pop_moe,adult_below_poverty_line_pop_moe,child_above_poverty_line_pop_moe,child_below_poverty_line_pop_moe,total_child_pop_moe,total_pop_moe,total_pov_moe,child_pov_pct_moe,pov_pct_moe,high_child_pov_pct_moe,high_pov_pct_moe,child_poverty_year,total_poverty_year
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,asianalone,male,46,10,0,0,0,56,10,,,53.0094331227943,37.8549864614954,34.3074335968169,34.3074335968169,48.5180378828328,81.2219182240853,51.0881590977792,,,FALSE,TRUE,2023,
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,asianalone,total,102,18,0,0,0,120,18,,,85.9360227145753,52.7257053058563,48.5283422342037,48.5283422342037,68.629439747094,121.963109176505,71.6589143093865,,,FALSE,TRUE,2023,
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,blackorafricanamericanalone,female,689,138,84,35,119,946,173,0.294117647058824,0.182875264270613,282.051413752883,99.2874614440313,75.1930847884298,56.4800849857718,94.04254356407,313.456536062019,114.227842490349,0.413813126133455,0.104442862073688,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,blackorafricanamericanalone,male,402,69,240,31,271,742,100,0.114391143911439,0.134770889487871,179.203794602681,75.4652237789036,159.285906470095,52.392747589719,167.681245224384,256.760588876097,91.8694726228468,0.179908870896468,0.114694487777021,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,blackorafricanamericanalone,total,1091,207,324,66,390,1688,273,0.169230769230769,0.161729857819905,334.167622608774,124.71567664091,176.14482677615,77.0454411370329,192.257639640145,405.197482716761,146.594679303173,0.179073051081517,0.0776845764357135,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,combinedother,female,432,73,100,164,264,769,237,0.621212121212121,0.308192457737321,200.367162978368,81.3326502703558,94.3133076506174,175.561954876334,199.291244162908,294.073120158916,193.486433632955,0.471511508950123,0.222298259840756,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,combinedother,male,314,47,106,65,171,532,112,0.380116959064327,0.210526315789474,166.601320522978,72.5120679611332,103.237590053236,94.1381962860985,139.713993572584,229.202966821985,118.827606220104,0.454547248798997,0.204115114728662,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,combinedother,total,746,120,206,229,435,1301,349,0.526436781609195,0.26825518831668,260.583959598437,108.967885177239,139.835617780307,199.210943474499,243.390632523111,372.849835724786,227.06606968017,0.350661448885418,0.156687911362112,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,hispanicorlatino,female,577,73,167,164,331,981,237,0.495468277945619,0.241590214067278,211.063971345182,62.2173609212091,104.971424683101,168.73055443517,198.718393713315,296.492832965655,179.836036433191,0.41397326806138,0.168149922661653,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,hispanicorlatino,male,487,47,158,65,223,757,112,0.291479820627803,0.147952443857332,183.877676731027,50.1398045468867,102.776456447963,80.6845710157772,130.663690442295,231.080072702083,94.9947366963033,0.318968380555242,0.117079425007277,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,hispanicorlatino,total,1064,120,325,229,554,1738,349,0.413357400722022,0.200805523590334,279.928562315459,79.9124520960282,146.911538008422,187.032082809341,237.831873389586,375.912223796992,203.388790251577,0.287203512284702,0.108666468692252,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,total,female,1400,219,251,199,450,2069,418,0.442222222222222,0.202029966167231,324.966152083567,115.360305131358,116.301332752467,174.593814323418,209.783221445377,403.633497123319,209.262992428188,0.328682955250797,0.0931467502767387,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,total,male,973,141,434,96,530,1644,237,0.181132075471698,0.144160583941606,263.480549566756,86.0406880493177,187.68057970925,89.8776946744853,208.09132610467,346.593421749461,124.422666745252,0.153947836181531,0.0693123458646203,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,total,total,2373,360,685,295,980,3713,655,0.301020408163265,0.176407217883113,418.361088056717,143.916642540048,220.796286200651,196.372095777379,295.487732401871,532.025375334673,243.462522783282,0.178645122251787,0.0605024190541351,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,twoormoreraces,female,19,0,52,0,52,71,0,,,41.8688428309166,37.0540146272978,72.1526160301898,34.3074335968169,79.8936793494955,97.5141015443408,50.4975246918104,,,TRUE,TRUE,2022,2022
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,twoormoreraces,male,57,0,30,0,30,87,0,,,59.8832196863195,37.0540146272978,49.2442890089805,34.3074335968169,60.0166643524946,92.5256721132033,50.4975246918104,,,TRUE,TRUE,2022,2022
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,twoormoreraces,total,76,0,82,0,82,158,0,,,73.0753036257804,52.4118307255146,87.3613186713662,48.5283422342037,99.9349788612576,134.439577506031,71.4282857137143,,,TRUE,TRUE,2022,2022
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,whitealone,female,204,0,15,0,15,219,0,,0.2,113.674975258409,37.0540146272978,34.7850542618522,34.3074335968169,48.8569340012244,129.158816965781,50.4975246918104,,0.342696480744918,TRUE,TRUE,,2020
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,whitealone,male,154,15,58,0,58,227,15,,0.138461538461538,99.5439601382223,40.7553677446297,61.5304802516607,34.3074335968169,70.4485627958442,128.580713950421,53.2728824074688,,0.238484987337422,TRUE,TRUE,,2020
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,whitealone,total,358,15,73,0,73,446,15,0.25,0.163636363636364,151.102614140193,55.0908340833573,70.6894617322837,48.5283422342037,85.7438044409041,182.260802149008,73.4166193719106,0.455147874957449,0.198702299048833,TRUE,TRUE,2018,2020
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,"whitealone,nothispanicorlatino",female,78,0,0,0,0,78,0,,,61.7251974480439,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,86.8158971617526,50.4975246918104,,,FALSE,TRUE,2023,
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,"whitealone,nothispanicorlatino",male,38,15,36,0,36,89,15,,,51.361464153585,40.7553677446297,59,34.3074335968169,68.2495421230062,94.6414285606467,53.2728824074688,,,TRUE,TRUE,2018,
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,"whitealone,nothispanicorlatino",total,116,15,36,0,36,167,15,,,80.3056660516554,55.0908340833573,68.2568677863261,48.5283422342037,83.7496268648404,128.444540561287,73.4166193719106,,,TRUE,TRUE,,
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,asianalone,female,79,32,56,0,56,167,32,,0.191616766467066,54.3783044972901,47.1380949975707,57.9568805233684,34.3074335968169,67.349832961931,98.5646995632818,58.3009433885936,,0.330281428433445,TRUE,FALSE,,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,asianalone,male,76,4,38,0,38,118,4,,,54.8725796732758,35.0142828000232,49.4267134250296,34.3074335968169,60.1664358259653,88.639720216165,49.0204039151046,,,TRUE,TRUE,,
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,asianalone,total,155,36,94,0,94,285,36,,0.115833081494913,77.2593036468748,58.7281874401041,76.1774244773345,48.5283422342037,90.3216474606171,132.574507353412,76.1839878189637,,0.221410926566268,TRUE,TRUE,,2019
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,blackorafricanamericanalone,female,684,137,135,0,135,956,137,,0.143305439330544,230.145606084496,113.410757867144,114.20157617126,34.3074335968169,119.243448457347,282.927552564256,118.486286126286,,0.116457401627701,TRUE,FALSE,,2023
2023,24033805908,Census Tract 8059.08; Prince George's County; Maryland,blackorafricanamericanalone,male,480,79,55,8,63,622,87,,0.139871382636656,186.652082763627,63.608175575157,56.4180822077461,33.9116499156263,65.8255269633294,207.889393668845,72.0832851637604,,0.10604210685095,TRUE,FALSE,,2023
