GEOID,NAME,variable,population,moe,edu_less_than_hs_pct,disability_pct,linguistic_isolation_pct,female_headed_family_pct,child_poverty_pct,child_poverty_moe,unemployment_pct,lf_participation_pct,total_population,year,xgb_pred,smoothed_pred
24005403202,Census Tract 4032.02; Baltimore County; Maryland,B01003_001,2382,304,0.008,0.153,0.004,0.384,0.303,24.9,0.075,0.598,2382,2023,0.214470684528351,0.216301224318573
24005490602,Census Tract 4906.02; Baltimore County; Maryland,B01003_001,3012,388,0.016,0.051,0.027,0.334,0.187,24.3,0.012,0.789,3012,2023,0.107958056032658,0.106275108903266
24005491000,Census Tract 4910; Baltimore County; Maryland,B01003_001,2454,319,0.01,0.026,0.015,0.109,0,5.3,0.035,0.716,2454,2023,0.0419126078486443,0.121457242531016
24005491500,Census Tract 4915; Baltimore County; Maryland,B01003_001,3941,611,0.017,0.111,0.011,0.41,0.149,19.1,0.031,0.73,3941,2023,0.121403522789478,0.167840239691925
24005490302,Census Tract 4903.02; Baltimore County; Maryland,B01003_001,3406,477,0.028,0.134,0.033,0.293,0.318,27.8,0.041,0.577,3406,2023,0.114547200500965,0.143856974128572
24005451300,Census Tract 4513; Baltimore County; Maryland,B01003_001,3370,613,0.096,0.151,0.07,0.325,0.206,18.8,0.07,0.593,3370,2023,0.2374587059021,0.144674557151788
24005401302,Census Tract 4013.02; Baltimore County; Maryland,B01003_001,2892,552,0.015,0.134,0.018,0.448,0.206,26.3,0.101,0.639,2892,2023,0.173473432660103,0.150638540695802
24005400800,Census Tract 4008; Baltimore County; Maryland,B01003_001,3167,507,0.038,0.077,0.102,0.342,0.061,8.1,0.08,0.625,3167,2023,0.164095103740692,0.146642212121151
24005450504,Census Tract 4505.04; Baltimore County; Maryland,B01003_001,6507,1286,0.013,0.148,0.02,0.463,0.281,18.8,0.073,0.781,6507,2023,0.157814517617226,0.126318650258315
24005403601,Census Tract 4036.01; Baltimore County; Maryland,B01003_001,4839,985,0,0.097,0.081,0.088,0,3.1,0.023,0.673,4839,2023,0.0495134145021439,0.110759416034094
24005402306,Census Tract 4023.06; Baltimore County; Maryland,B01003_001,4413,798,0.046,0.088,0.077,0.497,0.178,14.7,0.045,0.736,4413,2023,0.156147211790085,0.15265179714764
24021750200,Census Tract 7502; Frederick County; Maryland,B01003_001,1992,327,0.026,0.103,0.004,0.378,0.526,28.7,0,0.759,1992,2023,0.141855120658875,0.176424477434832
24031703800,Census Tract 7038; Montgomery County; Maryland,B01003_001,4046,465,0.081,0.067,0.121,0.403,0.102,13.2,0.026,0.779,4046,2023,0.126415848731995,0.134100973616176
24031703601,Census Tract 7036.01; Montgomery County; Maryland,B01003_001,4753,589,0.039,0.13,0.122,0.268,0.01,1.6,0.035,0.726,4753,2023,0.107440948486328,0.131465715457431
24031703602,Census Tract 7036.02; Montgomery County; Maryland,B01003_001,2483,333,0.019,0.098,0.063,0.175,0.024,3.9,0.038,0.625,2483,2023,0.0884413793683052,0.15098293021938
24031700819,Census Tract 7008.19; Montgomery County; Maryland,B01003_001,6340,726,0.046,0.1,0.197,0.176,0,3,0.01,0.727,6340,2023,0.0951275378465652,0.128783474463719
24031701800,Census Tract 7018; Montgomery County; Maryland,B01003_001,4513,703,0.025,0.096,0.151,0.265,0.098,8.4,0.026,0.71,4513,2023,0.095630407333374,0.134626835701918
24031701602,Census Tract 7016.02; Montgomery County; Maryland,B01003_001,7229,1024,0.239,0.046,0.373,0.23,0.173,11.4,0.089,0.764,7229,2023,0.180514991283417,0.162886212588836
24031702602,Census Tract 7026.02; Montgomery County; Maryland,B01003_001,5055,819,0.024,0.109,0.151,0.368,0.04,5.2,0.06,0.882,5055,2023,0.175753489136696,0.154740601696149
24031703206,Census Tract 7032.06; Montgomery County; Maryland,B01003_001,3691,362,0.061,0.066,0.15,0.199,0,6.6,0.051,0.7,3691,2023,0.0869858488440514,0.163857031463485
24031703301,Census Tract 7033.01; Montgomery County; Maryland,B01003_001,5104,954,0.174,0.144,0.282,0.325,0.055,5.7,0.1,0.705,5104,2023,0.240839138627052,0.148123414366509
24031704501,Census Tract 7045.01; Montgomery County; Maryland,B01003_001,3333,280,0,0.063,0.083,0.143,0,5.3,0.041,0.704,3333,2023,0.0372460447251797,0.119410787271111
24031703402,Census Tract 7034.02; Montgomery County; Maryland,B01003_001,4204,1204,0.131,0.096,0.33,0.164,0.042,6.1,0.035,0.736,4204,2023,0.138137668371201,0.150974741971579
24031701102,Census Tract 7011.02; Montgomery County; Maryland,B01003_001,5689,841,0.056,0.071,0.242,0.328,0.149,17.6,0.045,0.743,5689,2023,0.141534611582756,0.127331536528858
24031704806,Census Tract 7048.06; Montgomery County; Maryland,B01003_001,4100,468,0.004,0.064,0.065,0.385,0.092,13.6,0.01,0.787,4100,2023,0.0928806141018867,0.111195166380105
24031706005,Census Tract 7060.05; Montgomery County; Maryland,B01003_001,4474,420,0.016,0.07,0.062,0.166,0.015,2.5,0.032,0.596,4474,2023,0.0696024671196938,0.117536432681801
24037876001,Census Tract 8760.01; St. Mary's County; Maryland,B01003_001,5586,716,0.016,0.166,0.034,0.362,0.131,11,0.07,0.711,5586,2023,0.165025487542152,0.088246187066427
24043000800,Census Tract 8; Washington County; Maryland,B01003_001,3750,537,0.068,0.277,0.045,0.391,0.593,19.5,0.093,0.514,3750,2023,0.311391979455948,0.209274857571871
24043000602,Census Tract 6.02; Washington County; Maryland,B01003_001,3155,358,0.027,0.248,0.025,0.319,0,12.1,0.146,0.601,3155,2023,0.290509670972824,0.192213001078076
